Nome,Conta,ID,URL,Categoria
Diplomatique,diplobrasil,102738853,diplomatique.org.br,Blog ou Site de Opiniao
Dom Total,domtotal,36439280,domtotal.com,Imprensa Digital
Blog do Eliomar,blogdoeliomar,47998763,blogdoeliomar.com.br,Blog ou Site de Opiniao
Boletim da Liberdade,bdaliberdade,985316002073325568,boletimdaliberdade.com.br,Imprensa posicionada
Estudos Nacionais,EstudosN,1031616459435372549,estudosnacionais.com,Site Hiperpartidario
Vem pra Rua,VemPraRua_br,2884022608,15binao.com.br,Site Hiperpartidario
Blog do Mello,blogdomello,10891732,blogdomello.blogspot.com,Blog ou Site de Opiniao
Destak Jornal,destak,306455439,destakjornal.com.br,Imprensa Tradicional Estrangeira
Leonardo Boff,LeonardoBoff,74626513,leonardoboff.wordpress.com,Blog ou Site de Opiniao
Saiba Mais,saibamaisjor,889473750357479424,www.saibamais.jor.br,Imprensa Digital
Ucho Info,UchoInfo,39525281,ucho.info,Site Hiperpartidario
Duplo Expresso,duploexpresso,909801662482669568,duploexpresso.com,Site Hiperpartidario
Band News FM,radiobandnewsfm,26573303,bandnewsfm.com.br,Imprensa Tradicional Brasileira
Avanca Brasil,MAvancaBrasil,51797285,avancabrasil.site,Site Hiperpartidario
Folha Impacto,FolhaImpacto,1065323221401124864,www.folhaimpacto.com.br,Site Hiperpartidario
Diario Online Brasil,DiarioOnlineBr,3211033539,diarioonlinebrasil.com.br,Site Hiperpartidario
Aluizio Amorim,BlogdoAmorim,75203253,aluizioamorim.blogspot.com,Blog ou Site de Opiniao
Agencia Brasil,agenciabrasil,14434407,agenciabrasil.ebc.com.br,Imprensa Digital
Os Divergentes,SiteDivergentes,721455759922446340,osdivergentes.com.br,Site Hiperpartidario
Os Divergentes,SiteDivergentes,721455759922446340,osdivergentes.com.br,Site Hiperpartidario
Grabois,Graboisorg,174357461,grabois.org.br,Blog ou Site de Opiniao
BandNews FM - Rio,bandnewsfmrio,83634722,bandnewsfmrio.com.br,Imprensa Tradicional Brasileira
Cartas Profeticas,CProfeticas,1085714982015328261,cartasprofeticas.org,Site Hiperpartidario
Antropofagista,Antropofagista1,1130462090743996421,antropofagista.com.br,Site Hiperpartidario
Julio Severo,juliosevero,19065418,juliosevero.blogspot.com,Blog ou Site de Opiniao
Agora SP,agorasp,3902045897,agora.folha.uol.com.br,Imprensa Tradicional Brasileira
Portal Disparada,PortalDisparada,871571639900753925,portaldisparada.com.br,Blog ou Site de Opiniao
Patria Tube,patriatube,1087572564338270214,patria.digital,Site Hiperpartidario
Blog JPCN,JPCN8,811992271189082112,blogjpcn.blogspot.com,Blog de Noticias
SGA Noticias,SGANoticias,1606651932,sganoticias.com.br,Site Hiperpartidario
Jamil Chade,JamilChade,224628959,jamilchade.blogosfera.uol.com.br,Imprensa Tradicional Brasileira
Agora Noticias BR,AgoraNoticiasBr,745761593665982464,agoranoticiasbrasil.com.br,Imprensa Digital
Luiz Salatino,luizsalatino,104814465,luizsalatino.com.br,Blog de Noticias
Bastidores Info,bastidoresinfo,403720312,bastidoresdainformacao.com.br,Site Hiperpartidario
